16/03/2026 16:12:57 - DUMP: schema_dump_20260316.sql | BASELINE: schema_current.sql
31/03/2026 14:27:00,28 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
31/03/2026 16:42:35,56 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
31/03/2026 17:32:47,10 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
31/03/2026 18:37:22,71 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
31/03/2026 21:16:16,94 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
31/03/2026 22:59:39,28 - DUMP: schema_dump_20260331.sql | BASELINE: schema_current.sql 
01/04/2026  1:33:09,38 - DUMP: schema_dump_20260401.sql | BASELINE: schema_current.sql 
01/04/2026  2:12:18,43 - DUMP: schema_dump_20260401.sql | BASELINE: schema_current.sql 
09/04/2026 17:58:31,81 - DUMP: schema_dump_20260409.sql | BASELINE: schema_current.sql 
09/04/2026 18:02:10,39 - DUMP: schema_dump_20260409.sql | BASELINE: schema_current.sql 
09/04/2026 18:30:29,27 - DUMP: schema_dump_20260409.sql | BASELINE: schema_current.sql 
